,sentence,provenance,convention_civic,convention_domestic,convention_green,convention_industrial,convention_inspired,convention_market,convention_project,convention_renown
378,"actions or entities are worthy, with regard to this ""green"" justification, when they support or reflect the principles of environmentalism or ""green ness"", e.g.",sci_article,0,0,1,0,0,0,0,0
379,"clean/non polluting, renewable, recyclable, sustainable, and in harmony with nature.",sci_article,0,0,1,0,0,0,0,0
380,"justifications based on environmentalism consider the general good of humanity to be advanced through a sensitivity to environmental issues and consequences, protection of wilderness, stewardship of environmental resources, and cultivation of various attachments to nature, the land, or the wild.",sci_article,0,0,1,0,0,0,0,0
381,"strictly green arguments, beyond the level of integrating the environment into other sorts of non green justifications, posit a unique type of dependency which assumes more than simply a spatial interaction of humanity with the natural world, but also a temporal extension of humanity by way of an implicit or explicit reference to future generations (goodwin 1992; dobson 1990; larr re 1997; larr re and larr re 1997; naess and rothenberg 1989; taylor 1986).",sci_article,0,0,1,0,0,0,0,0
382,"the green order of worth is revealed in distinctly ""green"" qualifications, such as the ""health"" of trout in the clavey river valued as something that is good for humanity, which are not considered relevant in any other order.",sci_article,0,0,1,0,0,0,0,0
383,"at a further level, some environmental evaluations depart from the political and moral requirements which are shared by all orders of worth where common humanity is the group of reference for the evaluation and propose an extension of the ""community"" of reference to include non human entities (a move to ""ecocentrism"" rather than ""anthropocentrism""; see, for example, eckersley 1996; devall and sessions 1985; stone 1974).",sci_article,0,0,1,0,0,0,0,0
384,"the subsections which follow compare the expression and frequency of a number of green or environmental arguments found in the comparative survey, and explore the different modes of the relation of humans and the environment revealed by these arguments.",sci_article,0,0,1,0,0,0,0,0
385,"unique and endangered perhaps the greatest similarity between the two cases is the extent and nature of arguments about the uniqueness or singularity of the natural places in dispute, and about the threat to ""endangered species"" (plant and animal) posed by the projects.",sci_article,0,0,1,0,0,0,0,0
386,"in the clavey case, uniqueness arguments are perhaps the most prevalent environmental justifications offered by dam opponents.",sci_article,0,0,1,0,0,0,0,0
387,"there are several senses in which the river is characterized as a unique natural place: in terms of being the ""last"" undammed river in the ecosystem, in terms of its specific role in local heritage and its historical importance, in terms of being a ""rare"" ecosystem not found elsewhere and in terms of the number of endangered species which live in the ecosystem.",sci_article,0,0,1,0,0,0,0,0
388,"the environmentalists who opposed the dam on the clavey were constantly referring to a long list they compiled of all the ""officially threatened or endangered"" plant and animal species, such as the rare ""wild trout,"" found within the clavey canyon and presumably further endangered by the project.48 the other side for their part constantly tried to refute this justification, either by denying the danger to these species or proposing to mitigate for any potential harm (but never explicitly by denying the importance of protecting endangered species).",sci_article,0,0,1,0,0,0,0,0
389,arguments in the somport controversy focus on the singularity of the aspe valley and the scarcity and uniqueness of the animals in the area.,sci_article,0,0,1,0,0,0,0,0
390,"evaluations of the uniqueness of the valley are not so much concerned with it being the last wild place of a certain type, but rather concern the singularity of the entire ""landscape"" of the valley, including the animal and human inhabitants and the special integration between the people and land found there.",sci_article,0,0,1,0,0,0,0,0
391,"the bears became a famous symbol of the project opposition they were described as the ""last of their kind"" and ""endangered,"" and were considered deserving of protection because they had lived in the area for a long time (a somewhat different characterization to the legal sense of ""endangered species"" in the united states).",sci_article,0,0,1,0,0,0,0,0
392,"the attachment to the pyrenean bear is understandable because it holds a special place of honor in this region it plays a central role in local customs such as carnivals, and it was a feared threat to humans, particularly farmers and shepherds, but also the prized prey of local bearhunting heroes.",sci_article,0,0,1,0,0,0,0,0
393,"an exhibition on the bears in the valley town of accous tells the ""fabulous story of a mythical animal"".",sci_article,0,0,1,0,0,0,0,0
394,the use of the bear as a symbol attractive to the media has also been denounced by project supporters.,sci_article,0,0,1,0,0,0,0,0
395,"in addition to the bears, other animals were put forward as endangered by the project, including a unique sort of amphibious mole.",sci_article,0,0,1,0,0,0,0,0
396,"untouched wilderness in the clavey case, there are numerous arguments about keeping the clavey ""free flowing,"" ""untouched,"" ""pristine,"" and ""the way it was long before humans arrived"".",sci_article,0,0,1,0,0,0,0,0
397,"these claims became crucial points of contention and debate, and were given explicit consideration in the decision making by the government agencies involved e.g.",sci_article,0,0,1,0,0,0,0,0
398,the forest service rated the river partly on its value as an undisturbed habitat.,sci_article,0,0,1,0,0,0,0,0
399,"dam proponent john mills spent much of his time attempting to disprove the claims that the clavey is ""free flowing"" and ""untouched"" for example, he argues there have been non wild, hatchery trout released into the river, and that there are small dams near the headwaters of the river.",sci_article,0,0,1,0,0,0,0,0
400,"when used by environmentalists, however, these arguments generally mean ""untouched by development"" rather than untouched by man at all.",sci_article,0,0,1,0,0,0,0,0
401,"while they are accused by mills and others of taking a ""preservationist"" or deep ecological stance that wilderness should be locked up and unused by any humans, many dam opponents making these ""pristine"" arguments are in fact fisherman, hunters, and rafters who enjoy ""using"" the ""untouched"" clavey.",sci_article,0,0,1,0,0,0,0,0
402,"so these green arguments in the united states about pristine wilderness imply a view of the relation of humans and nature whereby humans can get great benefit from ""participating in,"" ""experiencing,"" or ""struggling against"" wilderness (or preserving untouched wilderness for others in the present or future to experience).",sci_article,0,0,1,0,0,0,0,0
403,"so wilderness is valued (by dam opponents) because of its non human qualities, but the pristine quality of wilderness is used as a justification (against building the dam) because pristine wilderness has a benefit for humanity.",sci_article,0,0,1,0,0,0,0,0
404,"in france, the notion of a ""sublime"" and ""wild"" nature is commonly found in the somport dispute, as in the clavey dispute.52 renaud provides a nice example of this view: ""if you touch the aspe valley, if you want to make it more accessible, if you give it over to concrete and trucks, it would be a crime against beauty, an acid facelift of the noble visage of a distinguished old lady"".",sci_article,0,0,1,0,0,0,0,0
405,"however, the relation of man and the wild is not described in terms of a struggle so much as in the united states, and there is less attention to the ""experience"" of wilderness.",sci_article,0,0,1,0,0,0,0,0
406,"in france the idea of ""domesticated nature"" is not necessarily set against ""untouched wilderness"" as in the united states53 while the clavey debate often concerns separating what is to be untouched and what is not, this is not always the case in the somport debate, and there are instead connections made between the domestic life of the valley and its natural life.",sci_article,0,0,1,0,0,0,0,0
407,"for example, one reason offered against the road tunnel project was, ""the survival of the large pyrenean scavenger birds depends on the perennial continuation of traditional practices such as mountain transhumance"".",sci_article,0,0,1,0,0,0,0,0
408,"the ""wilderness industries"" in the united states are more highly developed commercial enterprises than in france.",sci_article,0,0,1,0,0,0,0,0
409,"these industries explicitly market a struggle of man against the wild and an escape from domestic life, and in the clavey dispute they are a primary source of the environmental arguments against the dam.",sci_article,0,0,1,0,0,0,0,0
410,"in france, the tourist activities oriented toward nature were not, until recently, nearly as heavily equipped and are not geared toward a ""struggle"" of man against the wild, but rather a contemplation of the landscape by man.we can distinguish in the arguments made by wilderness industries between explicit green arguments wilderness experiences are good for people and the compromise of these arguments with market concerns, i.e.",sci_article,0,0,1,0,0,0,0,0
411,selling this experience to tourists.,sci_article,0,0,1,0,0,0,0,0
412,"wild places as heritage and habitat in the earlier section dedicated to justifications based on tradition, we saw how evaluations of the projects based on ""patrimoine"" or ""heritage"" sometimes refer to ""green"" attachments to a place ""inhabiting"" a wild or natural place.",sci_article,0,0,1,0,0,0,0,0
413,"the green characterization of ""natural"" heritage is particularly oriented toward future generations.",sci_article,0,0,1,0,0,0,0,0
414,"in the clavey case, for example, dam opponents made the arguments that wild places like the clavey must be preserved because they have been entrusted to our stewardship by past generations and we must pass them on the future generations54.",sci_article,0,0,1,0,0,0,0,0
415,"other times, these sorts of heritage arguments are also careful combinations of justifications based on tradition or locality (""domestic"") and green justifications.",sci_article,0,0,1,0,0,0,0,0
416,"for example, there are similar arguments in both cases about the value of being attached for a long time to a land that has been passed down through several generations of one s family, and these are then combined with arguments about the natural value of the land and the need to preserve it for the future.",sci_article,0,0,1,0,0,0,0,0
417,"the clavey activist wally anker combines arguments in this way by saying first that the clavey is ""the only place i know that is the same today as it was during the ice age,"" then saying that his family has lived near the clavey for generations, and he wants to preserve the clavey so his grandchildren can have the same attachment to it.",sci_article,0,0,1,0,0,0,0,0
418,"animals can of course be included in these evaluations of wild places as part of our heritage, but animals have their own attachment to the wild place in terms of their ""habitat,"" an attachment which environmentalism wants to preserve as part of ""heritage"".",sci_article,0,0,1,0,0,0,0,0
419,"this raises the problem of arranging for ""cohabitation"" of humans and animals in making green arguments.",sci_article,0,0,1,0,0,0,0,0
420,"this cohabitation problem is found in both cases, but is perhaps more central in france, where the connection between wild nature and domesticated nature has been built up over time.",sci_article,0,0,1,0,0,0,0,0
421,"a voluntary association in the aspe valley, fiep, is in fact entirely dedicated to promoting harmonious ""cohabitation,"" particularly by working to ""let shepherds and bears live together in the pyrenees"".",sci_article,0,0,1,0,0,0,0,0
422,"fiep arranged for helicopter transportation of supplies to shepherds in their mountain outposts as a way to avoid building new roads that would threaten bear habitats, while still retaining the shepherds way of life.",sci_article,0,0,1,0,0,0,0,0
423,they promoted numerous mitigation measures such as wildlife road passages to allow for cohabitation.,sci_article,0,0,1,0,0,0,0,0
424,"they emphasized the integration of valley habitats: ""the bear is an integrator.",sci_article,0,0,1,0,0,0,0,0
425,"we cannot take care of bears without taking care of the forest or the pastures, because the bears are demanding"".",sci_article,0,0,1,0,0,0,0,0
426,"the problem of cohabitation of humans and animals is also used in an ironic way by the prominent project supporter, jacques lassalle, who at one point states his goal as having ""both genuinely wild bears and genuine humans"".",sci_article,0,0,1,0,0,0,0,0
427,"he contrasts wild bears with non wild bears put in zoos, and compares this to the contrast between genuine humans and non genuine humans who are forced by environmental restrictions to live in a ""reservation of humans like a reservation of indians"" in this way he uses cohabitation ironically as a defense of the project and at the same time denounces his opponent, the ""indian"" eric p tetin, who often identifies himself with the native indian ideal of living in harmony with the land.",sci_article,0,0,1,0,0,0,0,0
428,"native ""indian"" attachments to sites p tetin s identification with the native american ""indians"" makes an ideal of the intimate connections of native indians to their culturally significant sites.",sci_article,0,0,1,0,0,0,0,0
429,"p tetin often dresses up using some symbols of american indian costumes like a feather in his hair, and holds up indian culture as an exemplar of a sustainable and harmonious relationship with the land this attachment is then used as a green justification for his position against the somport project (although there is also a significant element of inspiration justification).",sci_article,0,0,1,0,0,0,0,0
430,"p tetin says, ""the indian culture is a culture shared by men and women who lived in harmony with nature all year around, without spoiling it, while using its richness, while loving it, while knowing it"".",sci_article,0,0,1,0,0,0,0,0
431,"p tetin s reference to the ""indian"" orientation to nature points to the important overlap between the native political and moral viewpoint, which emphasizes the integration and dependency of humans with non human entities, and the viewpoint of modern environmental politics which emphasizes this dependency also.",sci_article,0,0,1,0,0,0,0,0
432,"in the clavey case, the involvement of the me wuk indian tribe in the controversy meant there was a more direct consideration of indian attachments to their land in this case.",sci_article,0,0,1,0,0,0,0,0
433,"the tribal member most active in the clavey controversy is a grandmother named phyllis harness, who expressed her attachment to the clavey in many ways, including the fact that her grandson is named ""clavey"".",sci_article,0,0,1,0,0,0,0,0
434,"one of her primary self descriptions is as a ""gatherer"" one who collects plants, particularly mushrooms, from the ancestral lands which surround the clavey and she often describes her gathering as a ritual, ""sacred"" cultural practice (something her elders taught her).",sci_article,0,0,1,0,0,0,0,0
435,"the sacredness of her attachment to this place is in some ways ""proved"" only through being present in the place, and she prizes the experience of being near the clavey.",sci_article,0,0,1,0,0,0,0,0
436,this sort of presence is an intimate attachment to the natural place that phyllis compares to the connections of animals to specific locales or habitats: she compares the me wuk historical migrations through the clavey canyon with the migratory routes of a particular deer herd.,sci_article,0,0,1,0,0,0,0,0
437,the recognition of the power of this sort of native attachment to the clavey site as a general good (and so as a possible justification for or against the dam) was revealed in the rigorous competing attempts by both sides in the dispute to gain the endorsement of the me wuk tribe.,sci_article,0,0,1,0,0,0,0,0
438,the spokeswoman for the tribe originally endorsed the project (without an official tribal vote) after project supporters promised that the tribe could operate campgrounds on the dam s reservoir.,sci_article,0,0,1,0,0,0,0,0
439,"when the rest of the tribe found out about this, however, harness and others vigorously objected and eventually passed a tribal resolution against the dam.",sci_article,0,0,1,0,0,0,0,0
440,thereafter the me wuk were often touted by the opposition campaign as key opponents of the project.,sci_article,0,0,1,0,0,0,0,0
441,"the courting of the me wuk tribe s endorsement was clearly important both because of its political appeal (politicians are known to be sensitive to ""native"" issues), and because their attachment to the land makes them the most legitimate ""spokespersons for the land"".",sci_article,0,0,1,0,0,0,0,0
442,"deep ecology a particular variant of ""green"" standards of evaluation known as ""deep ecology"" has been developed, primarily in the united states but initially in europe (naess and rothenberg 1989; devall and sessions 1985; lovelock 1979), which makes a very important move away from the common moral requirements found in the other types of justification we have been considering.",sci_article,0,0,1,0,0,0,0,0
443,"the justifications environmental or other types discussed so far refer to the good of humanity as the primary basis for assigning value: the goal is ""good for everyone"".",sci_article,0,0,1,0,0,0,0,0
444,"but in the deep ecology philosophy and movement, the community of ""everyone"" that is the basis for evaluations is extended beyond the human community to include the good of non human natural entities (e.g.",sci_article,0,0,1,0,0,0,0,0
445,"trees, animals); they refer to this as a shift from ""anthropocentrism"" to ""ecocentrism"".",sci_article,0,0,1,0,0,0,0,0
446,"green arguments based on a deep ecology perspective value a healthy environment or the preservation of species not because of their benefits for humanity, but for their own sake, for the benefit of the integrated ecosystem (which includes humans) itself.",sci_article,0,0,1,0,0,0,0,0
447,"deep ecology arguments are explicitly made only rarely in the clavey case; they are never made seriously in the somport case, but there are a couple instances when they are used sarcastically.",sci_article,0,0,1,0,0,0,0,0
448,"one example from the clavey case is a statement made by the rafting company owner with a deeply personal connection to the river, marty mcdonnell.",sci_article,0,0,1,0,0,0,0,0
449,"in talking about reasons to preserve the river, he discounts the human definition of a clean environment and privileges the animal s concerns in determining what s really important: ""throwing a beer can out the window doesn t really harm the health [of the environment].",sci_article,0,0,1,0,0,0,0,0
450,"it may look bad, but i m sure that the deer that walks by could care less if he sees a beer can on the side of the road or not.",sci_article,0,0,1,0,0,0,0,0
451,"it offends my sense of natural order, but that s just a human thing"".",sci_article,0,0,1,0,0,0,0,0
452,"in the somport case, there are a couple of instances where deep ecological arguments are used sarcastically, mocking the radical environmental notion that the good of animals on their own should be the criteria of worth or evaluation.",sci_article,0,0,1,0,0,0,0,0
453,one instance of this is a letter to the editor of an important paper in the pyrenees region which is in fact a parody of efforts to protect the bears.,sci_article,0,0,1,0,0,0,0,0
454,"the author mentions all the money to be spent on somport mitigation measures such as bear ducts and bridges, and he proposes to spend as much money to protect a species of glow worm from devastation by the road and tunnel.",sci_article,0,0,1,0,0,0,0,0
455,"he ironically praises the efforts of americans to save species in peril (stranded whales rescued by an icebreaker), by suggesting the construction of an underground tunnel for the worms to avoid the road is a similar but more modest effort of a less wealthy country.",sci_article,0,0,1,0,0,0,0,0
456,"this parody is partly also a denunciation of the influence of ""radical"" american environmentalist views in the somport controversy. '",sci_article,0,0,1,0,0,0,0,0
457,"google maps apis premium plan customers can use their [client id and secret][clientid] to authenticate, with different name and namespace transactions without spending bitcoin.",github,0,0,0,0,0,1,0,0
458,your preferred price and performance.,github,0,0,0,0,0,1,0,0
459,another key aspect of microservices is that the focus of a team building a component now moves away from just delivering that component to running and maintainig that business functionality given by that component.,github,0,0,0,0,0,1,0,0
460,buy and hold : 6.18% #### step 2. generate your customized dockerfile includes sine wave and stock market data.,github,0,0,0,0,0,1,0,0
461,"| 121 | [best time to buy and sell stock][121] | array, dynamic programmin | enterprise customers for high scale business applications that must meet low if in doubt, you can simply include a source that mentions the legitimate purchase of content.",github,0,0,0,0,0,1,0,0
462,"can be customized in two ways: want to use tencent soter in more sensitive business scenarios like login, or even payment?",github,0,0,0,0,0,1,0,0
463,"i\\\'ve been doing mainly this project for over a year now, and even though i\\\'m not making money off of it, i would be extremely appreciative for any contributions to help pay for the domain and the website\\\'s vps.",github,0,0,0,0,0,1,0,0
464,"equally there are significant privacy concerns with devices constantly sending metadata (both during activation and other apple linked/ hosted activities) and linking ip addresses very strongly with real identities based on purchase payment information and if a cellular device, metadata collected about sim, etc unless such connections are blocked at the network level (which is only possible on self managed infrastructure, i.e.",github,0,0,0,0,0,1,0,0
465,"### design amazon\\\'s sales ranking by category feature * `jieba.tokenizer(dictionary=default_dict)` creates a new customized tokenizer, which enables you to use different dictionaries at the same time.",github,0,0,0,0,0,1,0,0
466,"your data are still on s3 servers so you pay $0.06 for those two gigabytes, but not a single cent will be charged for any transfer.",github,0,0,0,0,0,1,0,0
467,"for commercial customers, the database contents are saved automatically by default.",github,0,0,0,0,0,1,0,0
468,"unlike many other frameworks, which focus on only one area, spring framework provides a wide verity of features addressing the modern business needs via its portfolio projects.",github,0,0,0,0,0,1,0,0
469,* tron virtual machine (tvm) allow anyone to develop decentralized applications (dapps) for themselves or their communities with smart contracts thereby making decentralized crowdfunding and token issuance easier than ever.\\r the relevant stocks according to the expected market reaction.,github,0,0,0,0,0,1,0,0
470,"* **alibaba cloud sms** a messaging service that covers the globe, alibaba sms provides convenient, efficient, and intelligent communication capabilities that help businesses quickly contact their customers.",github,0,0,0,0,0,1,0,0
471," any kind of act, activity or business that requires any kind of governmental authorization or license to legally occur or exist, without previously obtaining such authorization or license; mycat s target is to smoothly migrate the current stand alone database and applications to cloud side with low cost and to solve the bottleneck problem caused by the rapid growth of data storage and business scale.",github,0,0,0,0,0,1,0,0
472,which is customized from square android style.,github,0,0,0,0,0,1,0,0
473,"(including, but not limited to, procurement of substitute goods or services; like solr itself, the test running can be customized or tailored in a number or search for `arouter helper` in the android studio plugin market, or directly download the `arouter idea plugin` zip installation package listed in the `latest version` above the documentation, after installation it\\\'s an awesome and inspiring company, [**buy their products now!!!",github,0,0,0,0,0,1,0,0
474,"yourself or pay someone to do it, if you think it\\\'s worth the effort.",github,0,0,0,0,0,1,0,0
475," any kind of act, activity or business involving dangerous or controlled goods or substances, including stolen goods, firearms, radioactive materials or drugs.",github,0,0,0,0,0,1,0,0
476,"i\\\'ve been doing mainly this project for over a year now, and even though i\\\'m not making money off of it, i would be extremely appreciative for any contributions to help pay for the domain and the website\\\'s vps.",github,0,0,0,0,0,1,0,0
477,"if in doubt, you can simply include a source that mentions the legitimate purchase of content.",github,0,0,0,0,0,1,0,0
478,"create a layout with the following components: two **button** views to control next and previous page, a **spinner** if you want to have a customized number of pagination (e.g.",github,0,0,0,0,0,1,0,0
479,"\\t vendor: edimax technology co. ltd. the business will benefit from faster time to market, reduced operational costs, maximized application lifetime, and the flexibility to integrate with new or existing technologies.",github,0,0,0,0,0,1,0,0
480,"a pay library for android, and which support wechat pay and ali pay.",github,0,0,0,0,0,1,0,0
481,"optionally, install via the eclipse marketplace an application designed around individuals who keep track of their fill history on their vehicles: from price, gallons, date purchased, and miles traveled.",github,0,0,0,0,0,1,0,0
482,[**(59) can you help me restore my purchase?,github,0,0,0,0,0,1,0,0
483,"so, before raising your service limits, make sure that you don\\\'t have any rogue scripts which could accidentally create tens of thousands of parallel executions that you don\\\'t want to pay for.",github,0,0,0,0,0,1,0,0
484,"them is not a happy owner of android device yet it\\\'s truly hoped performance is not that poor on actual device compared of contract, tort or otherwise, arising from, out of or in connection\\r what you use is what you pay for.",github,0,0,0,0,0,1,0,0
485," any kind of act, activity or business involving dangerous or controlled goods or substances, including stolen goods, firearms, radioactive materials or drugs.",github,0,0,0,0,0,1,0,0
486,this dataset was created from 3d reconstructed spaces captured by our customers who agreed to make them publicly available for academic use.,github,0,0,0,0,0,1,0,0
487,"enable real orders that use your money: liability, whether in an action of contract, tort or otherwise, arising from, anyone is free to copy, modify, publish, use, compile, sell, or\\r when the resource owner is a person, it is referred to as an end user.",github,0,0,0,0,0,1,0,0
488,"the authors gratefully acknowledge the d3m program of the defense advanced research projects agency (darpa) administered through afrl contract fa8750 17 2 0116; the texas a&m college of engineering, and texas a&m.",github,0,0,0,0,0,1,0,0
489,[**(29) why do i get \\\'the item you requested is not available for purchase\\\'?,github,0,0,0,0,0,1,0,0
490,"also known as ""finally found a way to make this deep learning stuff useful for my business"".",github,0,0,0,0,0,1,0,0
491,it actually continues to cost me a significant amount of money to host the andengine forums.,github,0,0,0,0,0,1,0,0
492,"try out the sample applications on the android market: [feature demos][4], besides of that, i implement a customized `nn.dataparallel ` module which enables different batch blob size on different gpus.",github,0,0,0,0,0,1,0,0
493,"if a good caller meets its obligations, the onus is thus on you to fulfill your end of the bargain.",github,0,0,0,0,0,1,0,0
494,"highly customizable, you can set the two styles of progress bar, you can set the color of the bars, you can set the color and size of the progress of the text, due to the progress of the code for formatting text uses string.format (), so progress text can be customized as needed \\t vendor: samsung electro mechanics(thailand) we decompose the detection framework into different components and one can easily construct a customized object detection framework by combining different modules.",github,0,0,0,0,0,1,0,0
495,"accordingly, we design two customized modules named cascade corner pooling and center pooling, which play the roles of enriching information collected by both top left and bottom right corners and providing more recognizable information at the central regions, respectively.",github,0,0,0,0,0,1,0,0
496,"its objectives include effective levels of decoupling between devices and applications, designed to keep markets open and encourage the rapid growth of scalable web and enterprise middleware and applications.",github,0,0,0,0,0,1,0,0
497,"transforming a graphical user interface screenshot created by a designer into computer code is a typical task conducted by a developer in order to build customized software, websites, and mobile applications.",github,0,0,0,0,0,1,0,0
498,buy now and sell at close or sell short now and buy to cover at close.,github,0,0,0,0,0,1,0,0
499,"* **[donate $2799]**: go buddy, buy macbook pro for yourself!",github,0,0,0,0,0,1,0,0
500,there is no minimum monthly contract or a setup fee.,github,0,0,0,0,0,1,0,0
501," any kind of illegal or criminal act, activity or business; the most different usage between handler and watcher is, handler can use customized callback function.",github,0,0,0,0,0,1,0,0
502,"meanwhile, pilelayout is able to be customized by these 4 params: the business will benefit from faster time to market, reduced operational costs, maximized application lifetime, and the flexibility to integrate with new or existing technologies.",github,0,0,0,0,0,1,0,0
503,sellthreshold = 0.65 # confidence threshold for predicting sell (default = 0.65) ### focus on business capabilities and running a product your preferred price and performance.,github,0,0,0,0,0,1,0,0
504,"bitcoin has the highest level of support, including keys, transactions, validation of signed transactions, and to_predict=\\\'rental_price\\\', # the column we want to learn to predict given all the data in the file output for stock market multi dimensional multi sequential predictions: the goal here is to use intelligent defaults as much as possible, and then allow the most universal aspects to be customized through a common interface.",github,0,0,0,0,0,1,0,0
505,the server issuing access tokens to the client after successfully authenticating the resource owner and obtaining authorization.,github,0,0,0,0,0,1,0,0
506,"* repository\\\'s owner explicitly say that ""this library is not maintained"".",github,0,0,0,0,0,1,0,0
507,"however, if you are planning to use it for commercial purposes (i.e make money off it), please do not expect free support, as it would be unfair.",github,0,0,0,0,0,1,0,0
508,"in this challenge, you are asked to implement the business logic for a simplified elevator model in python.",github,0,0,0,0,0,1,0,0
509,we are the preferred choice for communication products of all types and the fastest growing gif service on the market.,github,0,0,0,0,0,1,0,0
510,stores can be customized to work with your own implementations or use our included middleware.,github,0,0,0,0,0,1,0,0
511,"each service runs a unique process and communicates through a well defined, lightweight mechanism to serve a business goal.",github,0,0,0,0,0,1,0,0
512,"this is similar to contracts, but less legal and more medieval.",github,0,0,0,0,0,1,0,0
513,"just at cloudera, hue is heavily used by thousand of customers executing millions of queries daily.",github,0,0,0,0,0,1,0,0
514,we are the preferred choice for communication products of all types and the fastest growing gif service on the market.,github,0,0,0,0,0,1,0,0
515,"\\t vendor: canon inc. as the cornerstone of many enterprises, relational database still takes a huge market share.",github,0,0,0,0,0,1,0,0
516,jctools offers excellent performance at a reasonable price (free!,github,0,0,0,0,0,1,0,0
517,"trading.make_trades(companies) the code can be downloaded, customized with your logo, and run on any google app engine account.",github,0,0,0,0,0,1,0,0
518,this project is dual licensed under the gplv3 for foss projects as well as a commercial license for independent software vendors and resellers.,github,0,0,0,0,0,1,0,0
519,"during the testing period, the model signals to buy or sell based on its prediction for price # set reservation owner accounts.",github,0,0,0,0,0,1,0,0
520,this is the observable contract and sometimes it is the desired behavior.,github,0,0,0,0,0,1,0,0
521,support requests for services that **do** purchase the rights to distribute their content are perfectly fine though.,github,0,0,0,0,0,1,0,0
522,"some commands are supported exclusively by hp printers, because other vendors have only implemented a subset of the pjl standard.",github,0,0,0,0,0,1,0,0
523,* `bigpanda_auth_bearer` the authorization bearer header that is assigned to each customer by bigpanda.,github,0,0,0,0,0,1,0,0
524,"in\\r case that the jurisdiction has no such laws, regulations, rules and\\r standards or its laws, regulations, rules and standards are\\r unenforceable, the individual or the legal entity are required to\\r comply with core international labor standards.\\r\\r 3. the individual or the legal entity shall not induce, suggest or force\\r its employee(s), whether full time or part time, or its independent\\r contractor(s), in any methods, to agree in oral or written form, to\\r directly or indirectly restrict, weaken or relinquish his or her\\r rights or remedies under such laws, regulations, rules and standards\\r relating to labor and employment as mentioned above, no matter whether\\r such written or oral agreements are enforceable under the laws of the\\r said jurisdiction, nor shall such individual or the legal entity\\r limit, in any methods, the rights of its employee(s) or independent\\r contractor(s) from reporting or complaining to the copyright holder or\\r relevant authorities monitoring the compliance of the license about\\r its violation(s) of the said license.\\r\\r the licensed work is provided ""as is"", without warranty of any kind,\\r express or implied, including but not limited to the warranties of\\r merchantability, fitness for a particular purpose and noninfringement.\\r in no event shall the copyright holder be liable for any claim,\\r damages or other liability, whether in an action of contract, tort or\\r otherwise, arising from, out of or in any way connection with the\\r licensed work or the use or other dealings in the licensed work.\\r\' buythreshold = 0.65 # confidence threshold for predicting buy (default = 0.65) it includes preconfigured grafana and kibana dashboards that can be customized.",github,0,0,0,0,0,1,0,0
525,consistent interface for trading and accessing market data.,github,0,0,0,0,0,1,0,0
526,license and price > technical analysis of financial market data.,github,0,0,0,0,0,1,0,0
527,"once you\\\'ve established your model can accurately predict price movement a day in advance, for anyone interested in building ai systems and using them for business, economic, social and research purposes, it is critical that the person knows the likely positive, negative and unprecedented impacts the use of such technologies will have.",github,0,0,0,0,0,1,0,0
528,"*if you\\\'re a dataset owner and wish to update any part of it (description,* already being used to secure data of many products such as admob, google pay, pyalgotrade is an **event driven algorithmic trading** python library.",github,0,0,0,0,0,1,0,0
529,golem is a decentralized marketplace for computing power.,github,0,0,0,0,0,1,0,0
530,"note: v0.1.0 was dependent on snapshot of aes crypto, this is only as i was waiting for the aes crypto repo owner to upload to maven.",github,0,0,0,0,0,1,0,0
531,try out the sample application [on the android market][10].,github,0,0,0,0,0,1,0,0
532,"in activation processes after first boot, just as with first boot, a long list of highly sensitive metadata are sent hashed (note hashing does not give you any privacy from apple here since they link this exact metadata to payment information at purchase) to apple so it can return the personalized response required for secure boot to complete.",github,0,0,0,0,0,1,0,0
533,"whether an application is social, news, or business to business, users expect a seamless experience both online and offline.",github,0,0,0,0,0,1,0,0
534,we decompose the detection framework into different components and one can easily construct a customized object detection framework by combining different modules.,github,0,0,0,0,0,1,0,0
535,we open sourced the code to provide a generic status page designed to be customized by any hosted services company to provide customers up to date status information.,github,0,0,0,0,0,1,0,0
536,"substitute goods or services; loss of use, data, or profits; or business yacy also makes it easy to create a customized search portal with a few clicks.",github,0,0,0,0,0,1,0,0
537,"buy accuracy: 68.24% many programming languages claim to take testing, contracts and safety seriously, but only vigil is *truly* vigilant about not allowing code that fails to pass programmatic specifications.",github,0,0,0,0,0,1,0,0
538,"\\t vendor: shenzhen ogemray technology co., ltd. * tron virtual machine (tvm) allow anyone to develop decentralized applications (dapps) for themselves or their communities with smart contracts thereby making decentralized crowdfunding and token issuance easier than ever.\\r stitch is only intended to be used on your own pentesting labs, or with explicit consent from the owner of the property being tested.",github,0,0,0,0,0,1,0,0
539,"it enables cpus and gpus to connect in a peer to peer network, enabling both application owners and individual users (""requestors"") to rent resources from other users (""providers"") machines.",github,0,0,0,0,0,1,0,0
540,"portions copyrighted [year] [name of copyright owner]\\r besides, progress value can be freely customized.",github,0,0,0,0,0,1,0,0
541,"them is not a happy owner of android device yet it\\\'s truly hoped performance is not that poor on actual device compared * implementation for consumer driven contracts (cdc) and distributed tracing if you like to have a customized version for special needs, \\t vendor: hon hai precision ind.",github,0,0,0,0,0,1,0,0
542,scheduled worker collects required information from other services and sends e mail messages to subscribed customers.,github,0,0,0,0,0,1,0,0
