	text	provenance	convention	old	new
101	green jobs towards decent work in a sustainable low carbon world unep.	pdf	green	1	1
102	 united nations. a guide to the green economy green economy in a blue world synthesis report unep fao imo undp undesa iucn worldfish center grid arendal this report analyses how key sectors that are interlinked with the marine and coastal environment the blue world can make the transition towards a green economy.	pdf	green	1	1
103	it covers the impacts and opportunities linked with shipping and fisheries to tourism marine based renewable energies and agriculture.	pdf	green	1	1
104	the report concludes that a shift to sustainability in terms of improved human well being and social equity can lead to healthier and more economically productive oceans that can simultaneously benefit coastal communities and ocean linked industries.	pdf	green	1	1
105	green economy in a blue world synthesis report unep.	pdf	green	1	1
106	forests in a green economy a synthesis unep drawing on unep s green economy report this unep brief provides an evidence based roadmap for policy makers the private sector forest sector and forest dwellers alike.	pdf	green	1	1
107	the paper includes an overview of the role of forests in the green economy policy recommendations for forests in a green economy and a number of success stories.	pdf	green	1	1
108	the paper concludes that to fully realize the benefits of forests in a green economy governments and the international community will need to take an active role including through policy reforms to create incentives to maintain and invest in forests and introduce disincentives to modify market signals and associated rent seeking behavior.	pdf	green	1	1
109	examples of policies include national regulations smart subsidies and incentives information management supportive international markets legal infrastructure and conducive trade and aid protocols.	pdf	green	1	1
110	green economy and trade opportunities unep this study seeks to identify and assess the international trade opportunities associated with the transition to a green economy and in particular how developing countries can increase exports to respond to international demand for environmentally friendly goods and services.	pdf	green	1	1
111	 united nations. a guide to the green economy the study focuses on six key economic sectors considered to have a high potential to generate trade opportunities while contributing to the transition to a green economy agriculture fisheries forests manufacturing renewable energy and tourism.	pdf	green	1	1
112	the study highlights that significant untapped trade opportunities exist and are expected to continue to expand in the future.	pdf	green	1	1
113	in particular export markets for green and sustainable food products services energy and tourism are expected to grow rapidly due to changing consumer preferences as the world becomes more environmentally aware.	pdf	green	1	1
114	it is crucial to identify these trade opportunities together with the policy reforms that can promote and strengthen developing countries capacity to benefit from them.	pdf	green	1	1
115	adapting for a green economy companies communities and climate change wri oxfam unep this report is very much focused on private sector led initiatives to responding to climate change.	pdf	green	1	1
116	the report is based upon the results of a survey of business leaders committed to advancing climate action especially in ways that build the resilience of vulnerable communities in developing countries.	pdf	green	1	1
117	it offers help to companies with national regional or global reach to develop strategies for dealing with the immediate to long term consequences of climate change in developing countries where they have operations supply chains employees or customers.	pdf	green	1	1
118	a central message of the report is that community and social risk of climate change challenges are also business risks businesses fail in failing societies and it is difficult to separate community well being from companies viability and in turn economic growth.	pdf	green	1	1
119	the report mentions that business response to climate change forms part of the transition to a green economy  defined as one that is low carbon resource efficient and socially inclusive.	pdf	green	1	1
120	it goes on to say that in a green economy growth in income and employment can be generated by strategic public and private investments that reduce ghg emissions improve resource efficiency and reduce loss of biodiversity.	pdf	green	1	1
121	businesses can accelerate this transition by aligning their investments with climate change adaption opportunities and in doing so green the economy.	pdf	green	1	1
122	the report concludes that the private sector is a critical sector in addressing the needs of vulnerable communities and has much to contribute to the development and implementation of climate adaption strategies including sector specific expertise technology financing efficiency and entrepreneurial spirit.	pdf	green	1	1
123	the key is to find exactly where business incentives align with communities adaptation needs.	pdf	green	1	1
124	adapting for a green economy companies communities and climate change.	pdf	green	1	1
125	 united nations. a guide to the green economy the transition to a green economy benefits challenges and risks from a sustainable development perspective this report comprises a series of three perspectives of the green economy from leading experts jose antonio ocampo aaron cosbey and martin khor and an overarching summary by jose antonio ocampo.	pdf	green	1	1
126	the core elements of the paper are the macroeconomics of the green economy here ocampo introduces the concept of the green economy from the perspective of the unep as one that not only improves human well being and lessens inequality but also reduces environmental risks and ecological scarcities.	pdf	green	1	1
127	he continues by stating that the majority of literature on sustainability and the green economy exist at a microeconomic dimension externalities taxes emissions trading subsidies and so forth and that there is a dearth of literature on the green macroeconomy.	pdf	green	1	1
128	he asserts that there are four issues that need to be analysed from a macroeconomic perspective inter generational welfare the effects of environmental spending and protection policies on both aggregate supply and demand structural change of growth and global financing for green economic initiatives.	pdf	green	1	1
129	trade sustainable development and a green economy this paper by aaron cosbey explores the potential opportunities and risks of trade arising in the transition to the green economy.	pdf	green	1	1
130	the paper discusses the reasons why a green economy is desirable and how trade policy can ease the transition the relative positions of trading partners pursuing a green economy and the role of the international community in ensuring that trade and investment policy contribute to a widespread pursuit of the green economy.	pdf	green	1	1
131	challenges of the green economy concept and policies in the context of sustainable development poverty and equity in this paper martin khor explains that the green economy has become a major focal point in discussions around the environmental crisis.	pdf	green	1	1
132	he documents the problems associated with defining the concept of a green economy as there has not yet been widespread agreement amongst environmentalists or economists on what it should entail.	pdf	green	1	1
133	he states that it is an extremely complex concept and as such it is unlikely there will be international consensus on its meaning and use in the short term.	pdf	green	1	1
134	however he does say that a green economy should be environmentally friendly sensitive to the need to conserve natural resources minimize pollution and emissions that damage the environment and produce products and services which do not harm the environment.	pdf	green	1	1
135	the transition to a green economy benefits  challenges and risks from a sustainable development perspective.	pdf	green	1	1
136	building an equitable green economy danish group this paper lays out how a green economy must be designed to contribute to rather than distract from sustainable development.	pdf	green	1	1
137	the authors define the equitable green economy as one that is not a state but a process of transformation and a constant dynamic progression.	pdf	green	1	1
138	the green economy does away with the systemic distortions and dis functionalities of the current mainstream economy and results in human well being and equitable access to opportunity for all people while safeguarding environmental and economic integrity in order to remain within the planet s finite carrying capacity.	pdf	green	1	1
139	the economy cannot be green without being equitable.	pdf	green	1	1
140	the paper proposes five key working principles that aim to help inform policy and market decisions in progressing the green economy and providing the link between an equitable green economy and sustainable development.	pdf	green	1	1
141	the principles are that the green economy. links to policies specifying clear goals for key cross cutting pre requisites enabling conditions to address systemic distortions and dis functionalities in order to establish the foundation for equitable transformation and achieving sustainable development.	pdf	green	1	1
142	. establishes clear objectives for the necessary means for action to be mobilised technology capacity finance and defines the approach nature and profile of these means e.g.	pdf	green	1	1
143	the role of technology within the context of building an equitable green economy.	pdf	green	1	1
144	. creates the necessary aligned framework of institutions at all levels with clearly defined roles and mandates to enable them to actively advance an equitable green economy.	pdf	green	1	1
145	. is transparent and engages all involved and affected actors with powerful actors having clearly defined responsibilities and forms of accountability while making sure other stakeholders are empowered to act both as beneficiaries of and contributors to the green economy.	pdf	green	1	1
146	includes clear timelines for action to achieve objectives introduce new systems for measuring progress and success and integrate the tracking of the well being of people places and the planet.	pdf	green	1	1
147	the report puts a heavy emphasis on an equitable green economy to the extent to which it per se.	pdf	green	1	1
148	each working principle appears that they do not believe that a green economy is equitable per se.	pdf	green	1	1
149	each working principle is described in relation to the framework that needs to be in place.	pdf	green	1	1
150	each chapter also contains is described in relation to the framework that needs to be in place.	pdf	green	1	1
151	each chapter also contains references and links to the proposal in the zero draft document for rio. references and links to the proposal in the zero draft document for rio.	pdf	green	1	1
152	 united nations download here. a guide to the green economy citation the danish group forum for sustainable development.	pdf	green	1	1
153	building an equitable green economy.	pdf	green	1	1
154	the road to rio for a development led green economy unctad the road to rio publications by the united nations conference on trade and development provide a series of essay compilations all based around the what  why and how of making the transition to a development led green economy.	pdf	green	1	1
155	road to rio comprises three issues released in march  november and june. the first issue aims to contextualise the green economy examine the pros and cons from different perspectives identify the critical issues and provide a case study to look at a specific green economy initiative.	pdf	green	1	1
156	the second issue provides a series of real world references for governments businesses and civil society what is referred to in this volume as pathways to a development led green economy.	pdf	green	1	1
157	the third issue moves forward the debate focusing primarily on commitments and outcomes and the potential of rio to generate innovative ideas policies and to consolidate sustainable development strategies of governments.	pdf	green	1	1
158	in the first issue the unctad secretary general supachai panitchpakdi describes the green economy as an economy that results in improved human well being and reduced inequalities while not exposing future generations to significant environmental risks and ecological scarcities.	pdf	green	1	1
159	he stresses that a green economy is a critical enabling component of the overarching goal of sustainable development.	pdf	green	1	1
160	moving towards a green economy implies not only the mainstreaming of green niches in specific sectors of an economy but also a change in an economy s overall social construct.	pdf	green	1	1
161	the road to rio for a development led green economy.	pdf	green	1	1
162	issue march. unctad.	pdf	green	1	1
163	the road to rio for a development led green economy.	pdf	green	1	1
164	issue  november. unctad.	pdf	green	1	1
165	the road to rio for a development led green economy.	pdf	green	1	1
166	issue  june. beyond rio governance for a green economy boston university as an intellectual contribution to the rio preparatory process the boston university frederick s. pardee center for the study of the longer range future convened a small task force of experts to discuss the role of institutions in the actualization of a green economy in the context of sustainable development.	pdf	green	1	1
167	the report includes papers by experts from academia government and civil united nations. a guide to the green economy society on what the world has learned about institutions for sustainable development from the past and what can be proposed about the governance challenges and opportunities for the continuous development of a green economy in the future.	pdf	green	1	1
168	based on these papers the report synthesizes six recommendations for the rio process think boldly and move incrementally take economic policy seriously recognize what is working and what is not working make implementation the focus the state remains central but non state actors have to be better accommodated and put equity at the center.	pdf	green	1	1
169	beyond rio governance for a green economy boston university.	pdf	green	1	1
170	rio policy brief a green economy for a planet under pressure this policy brief by planet under pressure is one of nine policy briefs produced by the scientific community to inform the rio united nations conference on sustainable development.	pdf	green	1	1
171	the brief suggests that the current concept of the green economy is based on a traditional and trickle down economic growth theory which has rendered it inadequate.	pdf	green	1	1
172	in this light the document sets out a series of guidelines for the social and technological transformation needed for a new economic system. find common agreement on an agreed set of planetary boundaries that the global society should not cross.	pdf	green	1	1
173	. establish a common set of rules for the global economic system that emphasises not short term monetary benefits but long term sustainable well being.	pdf	green	1	1
174	. allow all countries to give their citizens access to the six key instrumental freedoms.	pdf	green	1	1
175	. establish a set of rules on technology transfer and development which would enable technology to be either developed or adapted locally.	pdf	green	1	1
176	. measure country progress by establishing a new set of accounts that track well being and not just economic performance.	pdf	green	1	1
177	rio policy brief a green economy for a planet under pressure pp.	pdf	green	1	1
178	the green economy trade and sustainable development implications unctad this paper focuses primarily on the opportunities that global trade can bring in the transition to the green economy and how the rio conference can catalyse the transition by generating new investment  united nations. a guide to the green economy income sources and jobs among countries of varied levels of development.	pdf	green	1	1
179	it elaborates by explaining that trade plays an essential role in the diffusion of green goods services technologies and production among countries and that this enhances economic growth and contributes to environmental and social developmental objectives.	pdf	green	1	1
180	the report stresses that growth resulting from international trade of green goods and services should be inclusive building the human and productive capacities of developing countries and stimulating economic diversification employment for the poor and increased access to basic services such as energy water housing education communications and transport.	pdf	green	1	1
181	the paper concludes by presenting key issues and considerations that need to be taken into account in the rio conference deliberations and how unctad can support countries in their transition to a green economy.	pdf	green	1	1
182	the green economy trade and sustainable development implications.	pdf	green	1	1
183	challenge paper the green economy stakeholder forum the global transition papers were borne out of a collaborative initiative between two uk based organisations stakeholder forum and nef new economics foundation  and aim to help catalyse a global transition to an economy that maximises well being operates within environmental limits and is capable of coping and adapting to global environmental change.	pdf	green	1	1
184	this particular paper focuses on the green economy and puts forward challenges that would form the basis for systemic change.	pdf	green	1	1
185	the paper recognises the systemic problems facing the world and proposes that they can only be rectified with the above systemic changes.	pdf	green	1	1
186	challenge paper the green economy stakeholder forum pp.	pdf	green	1	1
187	 united nations. a guide to the green economy a fresh look at the green economy oxfam america this report by oxfam america re examines the green economy in america with a particular focus on green jobs that build resilience to climate change.	pdf	green	1	1
188	the report reveals that two million people already work in fields that contribute to building resilience to climate change across the usa.	pdf	green	1	1
189	however it goes on to state that substantial investment will berequired not just in the mitigation of carbon emissions that empclimate change but in adapting to the effects brought about by the changing climate.	pdf	green	1	1
190	hasise investment in development and deployment of new technologies and strategies can build resilience to the negative consequences of climate change create jobs and save lives at the same time.	pdf	green	1	1
191	this report focuses more on jobs that relate to adaptation rather than mitigation of climate change effects.	pdf	green	1	1
192	a fresh look at the green economy.	pdf	green	1	1
193	from green economies to green societies unesco this report from unesco recognises that there are increasing social disparities and inequity in the world alongside population growth climate change the deterioration and pollution of the environment the unsustainable use of freshwater and depletion of ocean resources as well as increasing cases of natural and human made disasters.	pdf	green	1	1
194	the report reveals unesco s vision that aims to counter the above challenges by providing a new way forward through the development of an inclusive green society and economy.	pdf	green	1	1
195	the report identifies five priority areas for unesco in the transition to a green economy.	pdf	green	1	1
196	these are education the report states that education is one of the best weapons to fight poverty and inequality and can foster the attitudes and behaviours necessary for a new culture of sustainability.	pdf	green	1	1
197	science unesco identifies that science technology and innovation can and must drive the pursuit of more equitable and sustainable development.	pdf	green	1	1
198	culture the report recognises that new approaches will only work if they match the context and so culture must be built into development from the start.	pdf	green	1	1
199	information the green transition will rely on the media to enable governments to create policy for sustainable development and act on it.	pdf	green	1	1
200	media can raise public awareness of these issues and build solidarity.	pdf	green	1	1
201	oceans the report identifies that oceans make the world habitable for people and so there must be renewed effort to manage the world s water systems in a new green economy.	pdf	green	1	1
202	 united nations. a guide to the green economy unesco also detail their roadmap to a sustainable world which incorporates the above elements as well as disaster preparedness conservation of biodiversity and improving governance for sustainable development.	pdf	green	1	1
203	from green economies to green societies.	pdf	green	1	1
204	the future we want outcome of the uncsd rio the outcome document for the united nations conference on sustainable development includes a chapter on green economy in the context of sustainable development and poverty eradication.	pdf	green	1	1
205	whilst not a strong chapter it is significant as it is the first reference to green economy in the outcome document of a major un summit.	pdf	green	1	1
206	the chapter helps to frame the green economy concepts identifying a range of principles for applying the concept in a way that achieves sustainable development and contributes to poverty eradication.	pdf	green	1	1
207	importantly the document invites the un system in cooperation with relevant donors and international organisations to coordinate a number of green economy deliverables relating to tools best practices methodologies and platforms that can assist with green economy capacity building.	pdf	green	1	1
208	the paper outlines four different approaches or strands to green economy with slightly different modes of economic analysis the first approaches the question through the analysis of market failure and internalisation of externalities the second takes a systemic view of the economic structure and its impact on relevant aspects of sustainable development the third focuses on social goals e.g.	pdf	green	1	1
209	jobs and examines ancillary policies needed to reconcile social goals with other united nations. a guide to the green economy objectives and the fourth focuses on the macroeconomic framework and development strategy with the goal of identifying dynamic pathways towards sustainable development.	pdf	green	1	1
210	examples of existing programs and actors supporting each approach are also provided.	pdf	green	1	1
211	the paper concludes that green economy is an omnibus term like sustainable development itself which comprises a suite of economic instruments that could harness economic activity in support of one or more sustainable development goals.	pdf	green	1	1
212	the application of these instruments will require careful consideration of the social institutional and political context of the country.	pdf	green	1	1
213	the paper provides an overview of existing platforms and initiatives and proposes potential aims objectives governance arrangements and structural components for a green economy platform based on existing initiatives and best practice literature.	pdf	green	1	1
214	the executive summary of this paper is available online available on request.	pdf	green	1	1
215	a global green new deal edward barbier this report was commissioned by unep in response to the multiple global crises of fuel food and financial.	pdf	green	1	1
216	the report proposes a mix of policy actions that would stimulate economic recovery and at the same time improve the sustainability of the world economy.	pdf	green	1	1
217	the global green new deal ggnd calls on governments to allocate a significant share of stimulus funding to green sectors and sets out three objectives i economic recovery ii poverty eradication and iii reduced carbon emissions and ecosystem degradation and proposed a framework for green stimulus programs as well as supportive domestic and international policies.	pdf	green	1	1
218	all economies should consider removing water subsidies and other distortions adopting market based instruments or similar measures to enhance water management.	pdf	green	1	1
219	a global green new deal report prepared for the green economy initiative of unep.	pdf	green	1	1
220	a guidebook for iucn s thematic programme area on greening the world economy this guide is intended to offer an overview of available literature relating to the main topics covered by iucn s thematic programme area on greening the world economy tpa.	pdf	green	1	1
221	similar to the current guide it is a compilation of papers reports and articles that can be freely accessed on the internet.	pdf	green	1	1
222	it is not intended to serve as a complete bibliography of available literature but more as an overview of the different concepts and discourses that animate ongoing discussions on the topic of the green economy.	pdf	green	1	1
223	the guide begins with a brief summary of the theoretical framework for green economy with links to some relevant publications.	pdf	green	1	1
224	it then provides a summary of publications relating to macroeconomic policies financing conservation engaging the private sector and other areas of interest to biodiversity management.	pdf	green	1	1
225	overall it has limited duplication with the current guide and provides a useful complement for those seeking information on the framing of green economy in economic theory macroeconomic policies and earlier green economy reports and initiatives with a focus on biodiversity conservation.	pdf	green	1	1
226	a guidebook for iucn s thematic programme area on greening the world economy tpa.	pdf	green	1	1
227	principles for the green economy stakeholder forum this publication aims to develop a set of green economy principles based on some of the most prominent existing principles relating to sustainable development and the green economy from the existing literature.	pdf	green	1	1
228	fifteen principles are united nations. a guide to the green economy identified that represent a consolidation of existing international agreements and more radical and forward thinking proposals cutting across the stockholm declaration the rio declaration the johannesburg declaration the earth charter the one planet living principles the green economy coalition the tuc just transition principles and the new economics foundation.	pdf	green	1	1
229	principles for the green economy a collection of principles for the green economy in the context of sustainable development and poverty eradication.	pdf	green	1	1
230	the principles of a green fair and inclusive economy green economy coalition this brief publication was prepared as an input into the un conference on sustainable development by the green economy coalition a global network of organisations committed to accelerating the transition to a new green inclusive economy.	pdf	green	1	1
231	it sets out nine principles for a green fair and inclusive economy that provides a better quality of life for all within the ecological limits of the planet.	pdf	green	1	1
232	the principles are the result of five months of consultations with people and organisations around the world.	pdf	green	1	1
233	the principles are the sustainable principle the justice principle the dignity principle the healthy planet principle the inclusion principle the good governance and accountability principle the resilience principle the efficiency and sufficiency principle and the generations principle.	pdf	green	1	1
234	principles for a green fair and inclusive economy  may. the green economy pocketbook green economy coalition this publication was prepared as an input into the un conference on sustainable development by the green economy coalition.	pdf	green	1	1
235	it sets out the coalition s vision for change drawing lessons from their series of national dialogues in developing and developed countries and from across the coalition s diverse membership.	pdf	green	1	1
236	the pocketbook describes examples stories and glimpses of a transition that is already underway.	pdf	green	1	1
237	quoting the coalition the publication is the most succinct but comprehensive understanding of a green economy drawn from a global and multi stakeholder perspective.	pdf	green	1	1
238	it connects the dots between the many different actions going on at all levels civil society government finance business to show how it is possible to transform our economies so that they work for people and planet.	pdf	green	1	1
239	the green economy pocketbook the case for action.	pdf	green	1	1
240	 united nations. a guide to the green economy international chamber of commerce green economy roadmap and ten conditions for a transition toward a green economy these publications by the international chamber of commerce icc set out the icc s proposed roadmap for the green economy based on conditions that are needed to drive growth in a resource constrained world with strong demographic growth.	pdf	green	1	1
241	the icc represents hundreds of thousands of companies in over countries.	pdf	green	1	1
242	some of the key conditions are social environmental and economic innovation a green economy is one that is embedded in global markets and balance sheets and which drives innovation in private and public finance.	pdf	green	1	1
243	collaboration between all sectors of society business and government.	pdf	green	1	1
244	integrated governance intra policy and intra industry coordination and governance at all levels.	pdf	green	1	1
245	policies that advance economic growth while enhancing environmental protection and social progress and that are consistent with international trade rules provide access to finance promote technology transfer strengthen capacity and reduces inequality.	pdf	green	1	1
246	balancing short and long term strategies a green economy needs to reconcile the need for short and medium term pressures profits with longer term shared value.	pdf	green	1	1
247	multilateral approaches across countries and sectors are indispensable in today s globally connected world.	pdf	green	1	1
248	the icc defines the green economy as an economy in which economic growth and environmental responsibility work together in a mutually reinforcing fashion while supporting progress on social development.	pdf	green	1	1
249	green economy roadmap icc.	pdf	green	1	1
250	international chamber of commerce ten conditions for a transition toward a green economy  icc.b.	pdf	green	1	1
251	national strategies following is a summary of recent green economy national strategies and similar documents available online.	pdf	green	1	1
252	green economy scoping study synthesis report barbados unep uwi government of barbados this synthesis report focused on five key sectors agriculture fisheries building transportation and tourism in barbados to scope the transition to a green economy on the island.	pdf	green	1	1
253	in particular the study united nations. a guide to the green economy focuses on the applicability of the accepted unep definition of green economy to small islands developing states of which barbados is one.	pdf	green	1	1
254	barbados is vulnerable to both fluctuations in the price of its imported fossil fuels and at risk from the destruction of its marine and coastal ecosystems from climate change therefore the report states that the pursuit of a greener path to economic development is highly attractive to the country.	pdf	green	1	1
255	the document continues to explore options for greening the five areas of focus by looking at strengths challenges and investment gaps measures and potential returns on investment.	pdf	green	1	1
256	the report concludes by analysing the enabling conditions of a transition to the green economy which include finance development access and technology trade tariffs and investment taxation incentives and fiscal reform education training and capacity enhancement standards and regulation government procurement governance and institutions information data analysis and communication.	pdf	green	1	1
257	green economy scoping study synthesis report barbados.	pdf	green	1	1
258	green economy accord south africa the south african government signed a green economy accord in november and this document sets out the text of the accord.	pdf	green	1	1
259	it focuses primarily on job creation and the key messages are oppto benefit from new prospects for economic activity from climate change innovation drawn from technology research and manufacturing responsibility of government to create an enabling environment and partnership of all constituencies and citizens to achieve the goals of the green economy.	pdf	green	1	1
260	ortunity the accord falls short of attempting to define the green economy but it does go some way to exploring what will be needed to make the transition.	pdf	green	1	1
261	inclusivity is another focal point the accord talks about the green economy providing an entry point for broad based black economic empowerment addressing the needs of women and youth entrepreneurs and offering opportunities for enterprises in the social economy.	pdf	green	1	1
262	the climate resilient green economic strategy for ethiopia demonstrates the commitment of ethiopia to bypass the conventional approach to economic development and create a green economy where economic development goals are met in a sustainable way.	pdf	green	1	1
263	ethiopia s climate resilient green economy.	pdf	green	1	1
264	enabling the transition to a green economy government and business working together hm government uk this strategy document proposes means by which the government and business in the uk can work together to catalyse the transition to the green economy.	pdf	green	1	1
265	it explains the potential benefits that the green economy will bring to the uk including mitigating risks from increasing and fluctuating fossil fuel prices and climate change impacts and seizing the opportunities from new and emerging markets both nationally and internationally.	pdf	green	1	1
266	the uk government propose a four point vision for what a green economy looks like in the uk.	pdf	green	1	1
267	the green economy will grow sustainably and for the long term.	pdf	green	1	1
268	 united nations. a guide to the green economy growth and wealth will be generated whilst emissions and other environmental impacts are reduced.	pdf	green	1	1
269	use natural resources efficiently.	pdf	green	1	1
270	demand management will be operational and energy efficiency measures will be implemented in homes offices and businesses across the country.	pdf	green	1	1
271	the uk will be less reliant on fossil fuels whilst maintaining secure supplies of energy and other natural resources.	pdf	green	1	1
272	exploit comparative advantages.	pdf	green	1	1
273	the uk will be well placed to take advantage of the expanding market for green goods and services.	pdf	green	1	1
274	the strategy documents what the uk government is doing to ease the transition which include promotion of international action regulation financial incentives voluntary agreements fiscal measures public sector procurement provision of information and targeted work to unblock non financial barriers to the deployment of clean energy technologies.	pdf	green	1	1
275	the report concludes with a section on how uk businesses can work with the government to benefit from the transition to the new global green economy.	pdf	green	1	1
276	enabling the transition to a green economy government and business working together.	pdf	green	1	1
277	towards a green economy in jordan unep this report investigates the current levels of investment in green economic initiatives and infrastructure in jordan.	pdf	green	1	1
278	the report also defines the economic social and environmental challenges faced by jordan and identifies the sectors that present the greatest opportunities for further investment to drive the transition to a green economy.	pdf	green	1	1
279	the report identifies sectors that include energy water transport waste management agriculture and tourism.	pdf	green	1	1
280	towards a green economy in jordan.	pdf	green	1	1
281	environments of the poor in the context of climate change and the green economy government of nepal this report explores the environmental issues experienced by the poor in nepal and identifies links to resource constraints faced in their everyday lives.	pdf	green	1	1
282	with this consideration the government held a national workshop with experts and academics to discuss specific research and policy in the context of climate change and the green economy.	pdf	green	1	1
283	in united nations. a guide to the green economy particular they aimed to identify what is needed to protect natural resources whilst improving the livelihood of the rural poor.	pdf	green	1	1
284	the document reports on each of the papers.	pdf	green	1	1
285	environments of the poor in the context of climate change and the green economy.	pdf	green	1	1
286	national sustainable development strategy towards a green fair economy republic francaise the national sustainable development strategy puts forward france s approach to developing a green economy.	pdf	green	1	1
287	the strategy proposes a framework for organisations in both the public and private sectors to help develop sustainable projects and initiatives around a series of strategic indicators that were agreed upon by wide consensus.	pdf	green	1	1
288	in alignment with european commitments the strategy identifies nine strategic challenges which must be tackled in the move towards a green and equitable economy.	pdf	green	1	1
289	download here united nations. a guide to the green economy citation republic francaise.	pdf	green	1	1
290	national sustainable development strategy towards a green fair economy.	pdf	green	1	1
291	the publication recognises that small islands are microcosms that exhibit characteristics of the earth but on a much smaller scale and can be used as examples for leaders in larger cities nations or regions.	pdf	green	1	1
292	several areas which present challenges for small island developing states are explored in the context of sustainable development which are energy resources and technologies  water resources  education and jobs  transport  agriculture fisheries and food security  ecotourism  and environmental sustainability.	pdf	green	1	1
293	in conclusion the study provides the first steps that the two island economies need to take in order to achieve the green economy and enhance the wellbeing of the inhabitants.	pdf	green	1	1
294	road map on building a green economy for sustainable development in carriacou and petite martinique grenada.	pdf	green	1	1
295	a green economy for canada canadian institute for environmental law and policy the green economy for canada publication presents the results of a national research study that aimed to seek the perspectives of canadian stakeholders on their perspectives on how the green economy should be structured and what it would mean for canadians.	pdf	green	1	1
296	the report explores how canadians and the institutions they work for define the green economy and its associated concepts what potential gains exist for regular canadians successes best practice and lessons learned challenges and opportunities presented by the transition and the role of government and stakeholders.	pdf	green	1	1
297	in general the canadians involved in the study believe that canada has much to gain from the transition to a green economy and would have much to lose if the country was to ignore what is already a global transition in progress.	pdf	green	1	1
298	the next steps identified by stakeholders include united nations. a guide to the green economy. a call for federal leadership. advance a strong national dialogue and development of a shared vision. establish clear price signals and invest in technology r d and green business. federal leadership on the international stage.	pdf	green	1	1
299	a green economy for canada.	pdf	green	1	1
300	roadmap for a green economy in the heart of borneo a scoping study wwf pwc this report authored by wwf and pwc provides a roadmap for a green economy in borneo south east asia that will help to achieve the commitments made in the heart of borneo hob declaration signed by the indonesian malaysian and brunei governments in to conserve and sustainably manage the biodiversity ecosystems and natural resources of borneo.	pdf	green	1	1
301	the roadmap identifies the policies already in place in the region that contribute to a green economy such as payments for ecosystem services renewable energy incentives i.e.	pdf	green	1	1
302	and public private conservation programmes in brunei.	pdf	green	1	1
303	the roadmap then provides recommendations for further development of the green economy.	pdf	green	1	1
304	roadmap for a green economy in the heart of borneo.	pdf	green	1	1
305	 united nations. a guide to the green economy the global green economy index an analytic tool measuring national green reputations and performance dual citizen this report provides an overview of the analysis of the global green economy index ggei which is a comprehensive analytic tool offering stakeholders in the green economy a robust system to track analyse and improve upon both the perceptions and performance of national green economies.	pdf	green	1	1
306	the ggei measures perceptions of green reputations of countries as judged by hundreds of expert practitioners and benchmarks these against a green economy performance index.	pdf	green	1	1
307	the countries selected represent over of the international green economy.	pdf	green	1	1
308	the top ten national performers for were new zealand denmark germany norway iceland sweden brazil canada finland and the united kingdom.	pdf	green	1	1
309	the global green economy index an analytic tool measuring national green reputations and performance.	pdf	green	1	1
310	. green growth the concept of green growth has its origins in the asia and pacific region.	pdf	green	1	1
311	at the fifth ministerial conference on environment and development mced held in march in seoul  governments and other stakeholders from asia and the pacific agreed to move beyond the sustainable development rhetoric and pursue a path of green growth.	pdf	green	1	1
312	to do so they adopted a ministerial declaration the seoul initiative network on green growth and a regional implementation plan for sustainable development unescap .	pdf	green	1	1
313	this commenced a broader vision of green growth as a regional initiative of unescap where it is viewed as a key strategy for achieving sustainable development as well as the millennium development goals in particular and relating to poverty reduction and environmental sustainability unescap .	pdf	green	1	1
314	the green growth approach adopted by the mced sought to harmonize economic growth with environmental sustainability while improving the eco efficiency of economic growth and enhancing the synergies between environment and economy.	pdf	green	1	1
315	as with green economy green growth attracted significant attention as a way out of today s economic doldrums in the aftermath of the financial crisis green growth leaders .	pdf	green	1	1
316	in  partly in response to the global financial crisis the republic of korea rok adopted low carbon green growth as the country s new development vision which was followed shortly after by the release in of their national strategy for green growth and five year plan for green growth which were accompanied by the enactment of a framework act on low carbon green growth.	pdf	green	1	1
317	the rok has since been instrumental in promoting the concept more broadly including through the oecd.	pdf	green	1	1
318	in april  the association of southeast asian nations asean summit in hanoi adopted the asean leaders statement on sustained recovery and development which highlighted the leaders determination to promote green growth including investments in long term environmental sustainability and sustainable use of natural resources in order to diversify and ensure economic resilience.	pdf	green	1	1
319	in may  at its sixty sixth session unescap countries adopted the incheon declaration on green growth in which members expressed their intent to strengthen efforts to pursue green growth strategies as part of their response to the current crisis and beyond.	pdf	green	1	1
320	later that year support to pursue green growth was also stated in the th mced declaration in astana in october unescap .	pdf	green	1	1
321	the main focus of green growth in this context was for developing countries in asia and the pacific region to harmonise economic growth with environmental sustainability while improving the eco efficiency of economic growth and enhancing the synergy between environment and economy.	pdf	green	1	1
